portfolioId,Ticker,Name,NAV,ChangePercent,ChangePercentYTD,Ccy,1Y,Incept
228421, ,BGF Euro Short Duration Bond Fund,16.46,0,0,EUR,1.23,36.63
241493,-,BGF Euro Short Duration Bond Fund,11.07,0,-0.09,CHF,0.64,5.84
272985,-,BGF Euro Short Duration Bond Fund,10.29,0,0.29,USD,2.59,2.8
241751,-,BGF Euro Short Duration Bond Fund,12.29,0,0.08,EUR,1.39,8.47
241495,-,BGF Euro Short Duration Bond Fund,10.02,0,0.07,GBP,2.11,10.45
241752,-,BGF Euro Short Duration Bond Fund,15.02,0.07,0.07,EUR,1.27,8.5
228428, ,BGF Euro Short Duration Bond Fund,11.01,0,0.09,GBP,2.12,18.32
250680,-,BGF Euro Short Duration Bond Fund,10.54,0,0.29,USD,2.58,8.56
229611,-,BGF Euro-Markets Fund,27.35,0.26,2.09,EUR,11.73,168.6
229136,-,BGF Euro-Markets Fund,28.97,0.63,2.67,USD,8.78,-
229617,-,BGF Euro-Markets Fund,16.52,0.24,2.01,CHF,11.16,62.3
258499,-,BGF Euro-Markets Fund,12.48,0.24,2.25,GBP,11.56,22.6
277129,-,BGF Euro-Markets Fund,18.19,0.28,2.29,SGD,12.75,1.53
257477,-,BGF Euro-Markets Fund,12.87,0.23,2.27,USD,12.86,26.4
229612,-,BGF Euro-Markets Fund,24.15,0.25,2.11,EUR,11.74,227.08
229613,-,BGF Euro-Markets Fund,22.63,0.58,2.16,GBP,21.55,76.82
228693, ,BGF Euro-Markets Fund,29.73,0.24,2.24,EUR,12.57,92.49
243805,-,BGF Euro-Markets Fund,31.5,0.64,2.75,USD,9.55,32.88
250730,-,BGF Euro-Markets Fund,14.14,0.28,2.21,CHF,12.02,38.9
272305,-,BGF Euro-Markets Fund,11.52,0.26,2.45,USD,13.67,13.1
243807,-,BGF Euro-Markets Fund,24.25,0.29,2.23,EUR,12.6,62.13
243799,-,BGF Euro-Markets Fund,21.1,0.57,2.32,GBP,22.53,71.49
229638,-,BGF European Equity Income Fund,18.2,0.11,2.67,EUR,6.04,80.7
271486,-,BGF European Equity Income Fund,11.54,0.09,2.88,USD,7.11,14.5
229636,-,BGF European Equity Income Fund,14.9,0.13,2.64,EUR,6.05,74.39
229639,-,BGF European Equity Income Fund,14.1,0.07,2.71,EUR,6.08,80.95
259265,-,BGF European Equity Income Fund,19.47,0.1,2.93,USD,7.19,28.52
262188,-,BGF European Equity Income Fund,10.5,0.1,2.78,EUR,6.07,17.67
262734,-,BGF European Equity Income Fund,13.14,0.08,2.76,GBP,5.72,20.13
262732,-,BGF European Equity Income Fund,172.1,0.11,2.85,HKD,6.67,20.2
260610,-,BGF European Equity Income Fund,10.92,0.09,2.89,SGD,7.07,23.42
260611,-,BGF European Equity Income Fund,10.86,0.09,2.9,USD,7.11,22.81
260612,-,BGF European Equity Income Fund,11.01,0.09,3.01,AUD,8.45,29.09
273472,-,BGF European Equity Income Fund,8.85,0.11,2.83,CAD,7,-6.12
275801,-,BGF European Equity Income Fund,92.89,0.14,3.98,China OffShore Renminbi,10.01,3
273473,-,BGF European Equity Income Fund,8.89,0.11,3.03,NZD,9.19,-1.59
229640,-,BGF European Equity Income Fund,18.92,0.11,2.85,EUR,6.88,82.07
272438,-,BGF European Equity Income Fund,9.97,0.1,3.02,USD,7.85,-1.1
247323,-,BGF European Equity Income Fund,13.53,0.07,2.83,EUR,6.87,56.66
246660,-,BGF European Equity Income Fund,13.48,0.07,2.84,EUR,6.9,56.21
256031,-,BGF European Equity Income Fund,12.24,0.16,2.88,GBP,6.57,37.55
272927,-,BGF European Equity Income Fund,8.86,0.11,3.07,USD,7.94,-4.84
229642,-,BGF European Focus Fund,22.76,-0.22,2.2,EUR,6.11,127.5
229141,-,BGF European Focus Fund,24.11,0.12,2.77,USD,3.3,99.92
277130,-,BGF European Focus Fund,16.74,-0.24,2.39,SGD,7.11,-7.57
257476,-,BGF European Focus Fund,11.86,-0.17,2.42,USD,7.24,18.5
229644,-,BGF European Focus Fund,24.29,-0.25,2.36,EUR,6.91,91.03
243806,-,BGF European Focus Fund,25.74,0.16,2.92,USD,4.08,20.5
229648,-,BGF European Fund,108.93,-0.04,2.5,EUR,7.18,369.21
229649,-,BGF European Fund,115.41,0.34,3.05,USD,4.35,336.66
260719,-,BGF European Fund,11.21,0,2.85,AUD,9.3,11.7
260708,-,BGF European Fund,10.76,0,2.58,CAD,8.06,7.2
273333,-,BGF European Fund,92.97,0,3.79,China OffShore Renminbi,11.1,-7.41
260729,-,BGF European Fund,10.64,0,2.51,GBP,6.64,6
230105,-,BGF European Fund,15.42,0,2.6,HKD,7.71,53.7
260709,-,BGF European Fund,11.55,0,2.95,NZD,10.14,15.1
257101,-,BGF European Fund,12.09,-0.08,2.64,SGD,8.07,20.5
229656,-,BGF European Fund,15.54,0,2.72,USD,8.25,54.9
229650,-,BGF European Fund,103.85,-0.04,2.49,EUR,7.18,136.28
229651,-,BGF European Fund,90.78,0.28,2.57,GBP,16.62,60.05
229653,-,BGF European Fund,118.45,-0.03,2.62,EUR,7.98,74.16
229654,-,BGF European Fund,125.48,0.34,3.17,USD,5.13,123.78
244372,-,BGF European Fund,14.16,0,2.84,USD,9.04,41.1
243800,-,BGF European Fund,91.1,0.29,2.69,GBP,17.5,50.67
276251,-,BGF European High Yield Bond Fund,10.58,-0.19,1.73,EUR,12.55,5.8
276250,-,BGF European High Yield Bond Fund,10.46,-0.19,1.75,CHF,11.98,4.7
276249,-,BGF European High Yield Bond Fund,105.1,-0.21,1.7,SEK,12.23,5.16
276252,-,BGF European High Yield Bond Fund,10.68,-0.28,1.91,EUR,13.24,6.9
276253,-,BGF European High Yield Bond Fund,10.19,-0.29,1.9,EUR,13.32,6.86
276254,-,BGF European High Yield Bond Fund,10.29,-0.19,1.98,GBP,14.15,7.88
229661,-,BGF European Special Situations Fund,37.98,0.05,4.23,EUR,6.99,276.7
229662,-,BGF European Special Situations Fund,40.23,0.4,4.8,USD,4.14,303.94
260716,-,BGF European Special Situations Fund,13.23,0,4.54,AUD,9.42,31.2
260727,-,BGF European Special Situations Fund,12.69,0,4.39,CAD,7.98,25.9
275889,-,BGF European Special Situations Fund,277.64,0.08,5.51,China OffShore Renminbi,11,2.41
260717,-,BGF European Special Situations Fund,12.45,0,4.31,GBP,6.56,23.5
257475,-,BGF European Special Situations Fund,13.89,0.07,4.4,USD,8.08,37.7
229665,-,BGF European Special Situations Fund,41.28,0.05,4.33,EUR,7.77,139.36
243801,-,BGF European Special Situations Fund,43.73,0.41,4.91,USD,4.93,37.37
268588,-,BGF European Special Situations Fund,12.81,0.08,4.61,USD,8.92,27
229673,-,BGF European Value Fund,66.66,0.03,1.15,EUR,10.62,321.09
